Subject,ChannelIndex,ROI,ClassLabel,TrainAccuracy,FixationAccuracy,EncodingAccuracy,DelayAccuracy
k12wm002,82,R Hippocampus,4,0.792,0.404,0.605,0.509
k12wm003,33,L IFG (p Triangularis),1,0.706,0.64,0.605,0.509
k12wm007,46,L Insula Lobe,1,0.964,0.309,0.673,0.509
k12wm010,22,L Inferior Temporal Gyrus,4,0.778,0.727,0.727,0.509
k12wm002,6,Left Cerebral White Matter,3,0.733,0.274,0.629,0.508
k12wm003,83,Right Cerebral White Matter,3,0.783,0.492,0.633,0.508
k12wm003,99,R Medial Temporal Pole,1,0.758,0.623,0.623,0.508
k12wm010,81,L Insula Lobe,2,0.643,0.326,0.568,0.508
k12wm002,37,L IFG (p Opercularis),1,0.595,0.671,0.599,0.507
k12wm002,52,Left Cerebral White Matter,1,0.778,0.515,0.642,0.507
k12wm002,52,Left Cerebral White Matter,3,0.758,0.381,0.597,0.507
k12wm003,104,R Medial Temporal Pole,1,0.757,0.261,0.613,0.507
k12wm006,48,L SupraMarginal Gyrus,3,0.776,0.579,0.651,0.507
k12wm008,12,R ParaHippocampal Gyrus,4,0.73,0.464,0.65,0.507
k12wm008,13,R ParaHippocampal Gyrus,3,0.778,0.611,0.66,0.507
k12wm008,87,R IFG (p Triangularis),4,1,0.697,0.77,0.507
k12wm008,98,R Middle Frontal Gyrus,1,0.806,0.239,0.672,0.507
k12wm008,136,L Middle Temporal Gyrus,4,0.603,0.299,0.583,0.507
k12wm003,37,L IFG (p Triangularis),2,0.675,0.256,0.537,0.506
k12wm003,38,L Rolandic Operculum,2,0.936,0.5,0.773,0.506
k12wm003,42,L Postcentral Gyrus,1,0.932,0.669,0.688,0.506
k12wm008,6,R Inferior Temporal Gyrus,3,0.697,0.286,0.591,0.506
k12wm008,134,L Middle Temporal Gyrus,3,0.718,0.263,0.628,0.506
k12wm002,9,L ParaHippocampal Gyrus,1,0.717,0.68,0.704,0.504
k12wm002,25,L Middle Temporal Gyrus,3,0.667,0.276,0.598,0.504
k12wm002,103,R Middle Frontal Gyrus,3,0.697,0.439,0.626,0.504
k12wm002,103,R Middle Frontal Gyrus,4,0.833,0.52,0.683,0.504
k12wm003,36,L IFG (p Triangularis),4,0.704,0.714,0.571,0.504
k12wm009,58,L SupraMarginal Gyrus,3,0.758,0.405,0.736,0.504
k12wm010,37,L Superior Orbital Gyrus,4,0.871,0.549,0.707,0.504
k12wm010,121,L Superior Temporal Gyrus,3,0.967,0.405,0.876,0.504
k12wm002,101,Right Cerebral White Matter,2,0.885,0.636,0.815,0.503
k12wm008,40,R Insula Lobe,3,0.667,0.352,0.591,0.503
k12wm008,99,R Insula Lobe,2,0.863,0.28,0.771,0.503
k12wm008,122,L Middle Temporal Gyrus,4,0.705,0.484,0.654,0.503
k12wm009,47,L Superior Temporal Gyrus,2,0.77,0.734,0.678,0.503
k12wm011,4,Left Amygdala,3,0.887,0.401,0.777,0.503
k12wm011,107,L Middle Frontal Gyrus,3,0.8,0.697,0.717,0.503
k12wm011,131,Left Cerebral White Matter,1,0.764,0.689,0.656,0.503
k12wm002,34,L Insula Lobe,1,0.771,0.357,0.693,0.5
k12wm002,35,L IFG (p Opercularis),4,0.721,0.366,0.585,0.5
k12wm002,36,L IFG (p Opercularis),1,0.882,0.507,0.662,0.5
k12wm002,84,R Middle Temporal Gyrus,1,0.846,0.433,0.635,0.5
k12wm003,33,L IFG (p Triangularis),2,0.783,0.474,0.553,0.5
k12wm003,83,Right Cerebral White Matter,4,0.75,0.633,0.583,0.5
k12wm003,90,R Hippocampus,2,0.724,0.342,0.572,0.5
k12wm003,99,R Medial Temporal Pole,2,0.793,0.615,0.672,0.5
k12wm006,5,L Middle Temporal Gyrus,4,0.814,0.333,0.698,0.5
k12wm006,29,L IFG (p Triangularis),2,0.9,0.405,0.753,0.5
k12wm006,33,L Rolandic Operculum,2,1,0.647,0.816,0.5
k12wm006,37,L Middle Temporal Gyrus,2,0.88,0.544,0.754,0.5
k12wm006,48,L SupraMarginal Gyrus,1,0.821,0.52,0.711,0.5
k12wm007,1,L Amygdala,1,0.923,0.577,0.788,0.5
k12wm007,16,L Middle Temporal Gyrus,3,0.833,0.741,0.722,0.5
k12wm007,23,L Middle Temporal Gyrus,4,0.857,0.574,0.648,0.5
k12wm007,25,L Middle Temporal Gyrus,2,0.75,0.3,0.68,0.5
k12wm007,25,L Middle Temporal Gyrus,4,0.885,0.56,0.74,0.5
k12wm007,68,L IFG (p Orbitalis),1,0.821,0.75,0.696,0.5
k12wm007,74,L IFG (p Orbitalis),4,0.821,0.357,0.732,0.5
k12wm008,4,R Hippocampus,1,0.872,0.373,0.728,0.5
k12wm008,11,R ParaHippocampal Gyrus,3,0.662,0.529,0.652,0.5
k12wm008,12,R ParaHippocampal Gyrus,1,0.743,0.4,0.686,0.5
k12wm008,26,R Fusiform Gyrus,1,0.688,0.386,0.627,0.5
k12wm008,51,R Inferior Temporal Gyrus,1,0.9,0.494,0.728,0.5
k12wm008,61,R Inferior Temporal Gyrus,4,1,0.276,0.756,0.5
k12wm008,76,R Middle Temporal Gyrus,1,0.711,0.395,0.638,0.5
k12wm008,76,R Middle Temporal Gyrus,4,0.59,0.513,0.52,0.5
k12wm008,124,L Middle Temporal Gyrus,1,0.85,0.354,0.677,0.5
k12wm009,22,L Inferior Temporal Gyrus,2,0.703,0.333,0.623,0.5
k12wm010,45,L IFG (p Triangularis),1,0.763,0.733,0.671,0.5
k12wm010,63,L Precentral Gyrus,3,0.733,0.525,0.661,0.5
k12wm010,86,Left Cerebral White Matter,1,0.714,0.362,0.638,0.5
k12wm010,129,L Superior Temporal Gyrus,1,1,0.663,0.808,0.5
k12wm011,14,L Middle Temporal Gyrus,1,0.722,0.704,0.662,0.5
k12wm011,138,L IFG (p Opercularis),2,0.736,0.432,0.568,0.5
k12wm013,0,L Insula Lobe,1,1,0.5,0.577,0.5
k12wm013,7,L Insula Lobe,2,0.929,0.286,0.75,0.5
k12wm013,12,L Precentral Gyrus,3,0.929,0.656,0.719,0.5
k12wm013,19,L Postcentral Gyrus,2,1,0.312,0.688,0.5
k12wm013,34,L Inferior Temporal Gyrus,2,0.875,0.688,0.75,0.5
k12wm013,46,L Middle Frontal Gyrus,1,0.938,0.656,0.75,0.5
k12wm013,80,L Middle Frontal Gyrus,4,0.722,0.433,0.667,0.5
k12wm013,123,R Superior Temporal Gyrus,4,0.889,0.7,0.733,0.5
k12wm013,135,R Inferior Temporal Gyrus,2,1,0.5,0.875,0.5
k12wm002,41,L ACC,1,0.737,0.503,0.649,0.497
k12wm002,44,L Middle Frontal Gyrus,3,0.73,0.302,0.624,0.497
k12wm002,102,Right Cerebral White Matter,2,0.718,0.483,0.594,0.497
k12wm003,98,R Medial Temporal Pole,4,0.763,0.595,0.66,0.497
k12wm006,24,L Middle Temporal Gyrus,4,0.725,0.306,0.611,0.497
k12wm008,18,R Inferior Temporal Gyrus,2,0.7,0.58,0.611,0.497
k12wm008,94,R Insula Lobe,3,0.692,0.686,0.717,0.497
k12wm008,118,L Fusiform Gyrus,1,0.662,0.566,0.648,0.497
k12wm008,118,L Fusiform Gyrus,3,0.654,0.503,0.572,0.497
k12wm009,47,L Superior Temporal Gyrus,1,0.953,0.741,0.797,0.497
k12wm011,7,L Middle Temporal Gyrus,2,0.756,0.68,0.725,0.497
k12wm011,7,L Middle Temporal Gyrus,3,0.868,0.386,0.621,0.497
k12wm011,162,L Medial Temporal Pole,4,0.697,0.565,0.653,0.497
k12wm002,17,L Middle Temporal Gyrus,4,0.679,0.31,0.535,0.496
k12wm002,18,L ParaHippocampal Gyrus,2,1,0.309,0.862,0.496
k12wm003,59,L IFG (p Orbitalis),1,0.727,0.659,0.634,0.496
k12wm006,0,L Hippocampus,1,0.706,0.512,0.642,0.496
k12wm006,30,L Insula Lobe,3,0.758,0.569,0.65,0.496
k12wm002,76,R Fusiform Gyrus,3,0.692,0.371,0.629,0.495
k12wm003,58,L Superior Orbital Gyrus,2,0.704,0.532,0.577,0.495
k12wm003,63,L IFG (p Orbitalis),1,0.741,0.431,0.596,0.495
k12wm003,40,L Rolandic Operculum,1,0.75,0.394,0.588,0.494
k12wm006,31,L Rolandic Operculum,3,0.716,0.357,0.636,0.494
k12wm006,46,L Superior Temporal Gyrus,1,0.9,0.551,0.718,0.494
k12wm008,50,R Inferior Temporal Gyrus,3,0.897,0.34,0.763,0.494
k12wm008,101,R Insula Lobe,1,0.725,0.665,0.709,0.494
k12wm008,125,L Middle Temporal Gyrus,4,0.575,0.703,0.563,0.494
k12wm002,37,L IFG (p Opercularis),3,0.77,0.283,0.632,0.493
k12wm002,52,Left Cerebral White Matter,2,0.868,0.373,0.746,0.493
k12wm003,90,R Hippocampus,3,0.645,0.375,0.546,0.493
k12wm003,91,R Hippocampus,2,0.729,0.662,0.669,0.493
k12wm010,39,L IFG (p Orbitalis),1,0.833,0.29,0.63,0.493
k12wm010,45,L IFG (p Triangularis),3,1,0.733,0.733,0.493
k12wm011,21,L Middle Temporal Gyrus,1,0.712,0.739,0.623,0.493
k12wm011,132,L Insula Lobe,4,1,0.73,0.77,0.493
k12wm002,6,Left Cerebral White Matter,1,0.683,0.508,0.605,0.492
k12wm002,13,L Hippocampus,1,0.688,0.315,0.646,0.492
k12wm002,21,L Hippocampus,4,0.839,0.515,0.576,0.492
k12wm002,67,Right Cerebral White Matter,3,0.828,0.375,0.617,0.492
k12wm010,71,L ACC,4,0.676,0.359,0.578,0.492
k12wm010,103,L Middle Frontal Gyrus,3,0.727,0.446,0.6,0.492
k12wm010,135,R Fusiform Gyrus,1,0.875,0.692,0.762,0.492
k12wm007,39,L Insula Lobe,4,0.958,0.566,0.642,0.491
k12wm007,48,L Insula Lobe,3,0.679,0.34,0.642,0.491
k12wm007,63,L IFG (p Triangularis),2,0.885,0.6,0.673,0.491
k12wm008,66,R ParaHippocampal Gyrus,2,0.812,0.289,0.755,0.491
k12wm008,118,L Fusiform Gyrus,2,0.65,0.704,0.597,0.491
k12wm009,37,L Insula Lobe,4,0.762,0.459,0.692,0.491
k12wm010,139,R Middle Temporal Gyrus,3,0.893,0.727,0.709,0.491
k12wm011,75,L SupraMarginal Gyrus,3,0.797,0.519,0.648,0.491
k12wm011,137,L IFG (p Opercularis),2,0.733,0.648,0.657,0.491
k12wm002,29,L Heschls Gyrus,2,0.782,0.654,0.719,0.49
k12wm002,77,R Inferior Temporal Gyrus,2,1,0.702,0.798,0.49
k12wm006,22,L Middle Temporal Gyrus,1,0.946,0.669,0.676,0.49
k12wm007,14,L Middle Temporal Gyrus,4,0.885,0.216,0.608,0.49
k12wm008,8,R Inferior Temporal Gyrus,1,0.689,0.302,0.624,0.49
k12wm008,9,R Inferior Temporal Gyrus,3,0.73,0.252,0.669,0.49
k12wm010,46,L IFG (p Triangularis),3,0.792,0.538,0.621,0.49
k12wm010,124,L Superior Temporal Gyrus,2,1,0.667,0.844,0.49
k12wm011,7,L Middle Temporal Gyrus,4,0.91,0.444,0.686,0.49
k12wm011,8,L Middle Temporal Gyrus,4,0.744,0.299,0.637,0.49
k12wm002,3,Left Amygdala,1,0.672,0.351,0.595,0.489
k12wm007,17,L Middle Temporal Gyrus,1,0.909,0.638,0.617,0.489
k12wm009,67,R Fusiform Gyrus,3,0.7,0.652,0.624,0.489
k12wm002,103,R Middle Frontal Gyrus,1,0.803,0.293,0.667,0.488
k12wm010,96,L Putamen,3,0.704,0.537,0.577,0.488
k12wm011,157,R Middle Temporal Gyrus,2,0.742,0.543,0.583,0.488
k12wm002,65,Left Amygdala,3,0.683,0.442,0.602,0.487
k12wm003,82,R Hippocampus,3,0.724,0.286,0.571,0.487
k12wm003,82,R Hippocampus,4,0.731,0.312,0.571,0.487
k12wm006,11,L Hippocampus,4,0.797,0.7,0.613,0.487
k12wm006,31,L Rolandic Operculum,2,0.962,0.61,0.792,0.487
k12wm006,46,L Superior Temporal Gyrus,3,0.737,0.609,0.628,0.487
k12wm008,16,R Inferior Temporal Gyrus,1,0.775,0.253,0.646,0.487
k12wm008,60,R Inferior Temporal Gyrus,2,0.787,0.759,0.696,0.487
k12wm008,123,L Middle Temporal Gyrus,2,1,0.682,0.753,0.487
k12wm008,125,L Middle Temporal Gyrus,1,0.688,0.468,0.614,0.487
k12wm009,38,L IFG (p Opercularis),1,0.912,0.392,0.741,0.487
k12wm008,72,R Inferior Temporal Gyrus,4,0.684,0.466,0.588,0.486
k12wm008,136,L Middle Temporal Gyrus,1,0.703,0.472,0.569,0.486
k12wm011,14,L Middle Temporal Gyrus,2,0.757,0.606,0.634,0.486
k12wm011,77,L SupraMarginal Gyrus,2,0.806,0.671,0.657,0.486
k12wm011,96,L ACC,2,0.689,0.466,0.628,0.486
k12wm011,159,L Fusiform Gyrus,2,0.682,0.379,0.6,0.486
k12wm011,160,L Medial Temporal Pole,1,1,0.694,0.722,0.486
k12wm002,13,L Hippocampus,3,0.645,0.354,0.515,0.485
k12wm002,86,R Middle Temporal Gyrus,4,0.739,0.278,0.619,0.485
k12wm010,59,L IFG (p Opercularis),1,0.931,0.44,0.769,0.485
k12wm013,89,R Superior Temporal Gyrus,1,1,0.545,0.848,0.485
k12wm002,47,L Middle Frontal Gyrus,1,0.625,0.258,0.541,0.484
k12wm008,45,R Fusiform Gyrus,1,1,0.561,0.694,0.484
k12wm008,66,R ParaHippocampal Gyrus,3,0.692,0.673,0.572,0.484
k12wm008,94,R Insula Lobe,4,0.825,0.642,0.686,0.484
k12wm008,120,L Inferior Temporal Gyrus,3,0.684,0.287,0.611,0.484
k12wm008,131,Left Cerebral White Matter,1,0.662,0.333,0.635,0.484
k12wm008,133,L Middle Temporal Gyrus,1,0.667,0.252,0.619,0.484
k12wm011,84,L Insula Lobe,2,0.846,0.739,0.706,0.484
k12wm013,2,L Insula Lobe,4,1,0.645,0.806,0.484
k12wm013,3,L IFG (p Opercularis),2,0.938,0.71,0.742,0.484
k12wm013,35,L Inferior Temporal Gyrus,4,0.938,0.548,0.645,0.484
k12wm013,67,L IFG (p Orbitalis),2,0.875,0.484,0.645,0.484
k12wm013,77,L Middle Frontal Gyrus,4,0.938,0.258,0.645,0.484
k12wm013,120,R Superior Temporal Gyrus,2,0.833,0.226,0.516,0.484
k12wm013,120,R Superior Temporal Gyrus,3,0.812,0.742,0.645,0.484
k12wm002,8,L Middle Temporal Gyrus,1,0.679,0.69,0.629,0.483
k12wm002,42,Left Cerebral White Matter,2,0.775,0.349,0.664,0.483
k12wm008,0,R ParaHippocampal Gyrus,1,0.684,0.765,0.631,0.483
k12wm008,1,R ParaHippocampal Gyrus,4,0.689,0.735,0.667,0.483
k12wm008,74,R Inferior Temporal Gyrus,1,0.786,0.255,0.711,0.483
k12wm010,34,L Rectal Gyrus,2,0.786,0.392,0.75,0.483
k12wm010,44,L Insula Lobe,4,0.671,0.308,0.678,0.483
k12wm010,136,R Fusiform Gyrus,3,1,0.647,0.75,0.483
k12wm013,14,L Insula Lobe,2,1,0.552,0.828,0.483
k12wm013,28,L Medial Temporal Pole,2,0.786,0.552,0.621,0.483
k12wm013,41,L ACC,1,0.812,0.517,0.69,0.483
k12wm013,65,L IFG (p Orbitalis),1,1,0.241,0.724,0.483
k12wm007,41,L Insula Lobe,3,1,0.411,0.804,0.482
k12wm009,36,L Insula Lobe,1,0.694,0.698,0.554,0.482
k12wm010,38,L IFG (p Orbitalis),3,0.8,0.394,0.708,0.482
k12wm010,38,L IFG (p Orbitalis),4,0.917,0.431,0.781,0.482
k12wm011,156,R Inferior Temporal Gyrus,4,0.868,0.324,0.669,0.482
k12wm002,77,R Inferior Temporal Gyrus,1,0.673,0.644,0.615,0.481
k12wm006,34,L Postcentral Gyrus,2,0.912,0.715,0.772,0.481
k12wm007,7,L Middle Temporal Gyrus,1,0.75,0.212,0.538,0.481
k12wm007,57,L ACC,1,0.821,0.259,0.667,0.481
k12wm008,119,L Middle Temporal Gyrus,2,0.821,0.468,0.703,0.481
k12wm011,106,L Middle Frontal Gyrus,1,0.823,0.385,0.704,0.481
k12wm011,123,L IFG (p Triangularis),2,0.794,0.556,0.674,0.481
k12wm013,40,L ACC,4,0.9,0.333,0.704,0.481
k12wm002,16,L Middle Temporal Gyrus,2,1,0.606,0.772,0.48
k12wm002,75,R Hippocampus,3,0.812,0.561,0.673,0.48
k12wm002,94,R Insula Lobe,2,0.917,0.696,0.832,0.48
k12wm002,104,R Middle Frontal Gyrus,2,1,0.455,0.821,0.48
k12wm006,0,L Hippocampus,4,0.862,0.504,0.659,0.48
k12wm007,26,L Middle Temporal Gyrus,1,1,0.26,0.8,0.48
k12wm008,75,R Middle Temporal Gyrus,1,0.842,0.342,0.737,0.48
k12wm008,116,L Fusiform Gyrus,1,0.782,0.349,0.645,0.48
k12wm010,32,L Middle Temporal Gyrus,1,0.845,0.51,0.76,0.48
k12wm010,32,L Middle Temporal Gyrus,4,1,0.72,0.77,0.48
k12wm010,35,L Rectal Gyrus,3,0.887,0.472,0.776,0.48
k12wm010,74,L ACC,1,1,0.576,0.8,0.48
k12wm011,96,L ACC,4,0.769,0.5,0.622,0.48
k12wm013,132,R ParaHippocampal Gyrus,4,1,0.68,0.68,0.48
k12wm002,10,L ParaHippocampal Gyrus,1,0.763,0.309,0.723,0.479
k12wm008,136,L Middle Temporal Gyrus,3,0.824,0.375,0.688,0.479
k12wm011,121,L IFG (p Orbitalis),3,0.819,0.637,0.651,0.479
k12wm011,160,L Medial Temporal Pole,2,1,0.556,0.722,0.479
k12wm002,47,L Middle Frontal Gyrus,2,0.713,0.711,0.604,0.478
k12wm003,114,R Insula Lobe,1,0.845,0.73,0.652,0.478
k12wm009,8,L Middle Temporal Gyrus,1,0.671,0.623,0.58,0.478
k12wm010,31,L Medial Temporal Pole,1,0.852,0.478,0.767,0.478
k12wm010,31,L Medial Temporal Pole,3,0.778,0.489,0.533,0.478
k12wm010,60,L IFG (p Opercularis),3,1,0.261,0.828,0.478
k12wm010,102,L Middle Frontal Gyrus,4,0.716,0.324,0.699,0.478
k12wm010,126,L Superior Temporal Gyrus,1,1,0.611,0.85,0.478
k12wm011,20,L Inferior Temporal Gyrus,3,0.688,0.296,0.616,0.478
k12wm011,151,L Superior Temporal Gyrus,4,0.647,0.366,0.575,0.478
k12wm013,30,L ParaHippocampal Gyrus,1,1,0.652,0.739,0.478
k12wm013,130,R ParaHippocampal Gyrus,1,0.917,0.304,0.652,0.478
k12wm013,130,R ParaHippocampal Gyrus,3,1,0.391,0.739,0.478
k12wm013,131,R ParaHippocampal Gyrus,1,0.917,0.304,0.783,0.478
k12wm002,22,L Fusiform Gyrus,4,0.914,0.47,0.674,0.477
k12wm002,41,L ACC,3,0.743,0.371,0.609,0.477
k12wm003,63,L IFG (p Orbitalis),4,0.955,0.651,0.661,0.477
k12wm008,20,R Middle Temporal Gyrus,1,0.744,0.245,0.639,0.477
k12wm008,49,R Medial Temporal Pole,1,0.65,0.361,0.645,0.477
k12wm010,2,L Amygdala,1,0.885,0.383,0.664,0.477
k12wm010,125,L Superior Temporal Gyrus,1,0.919,0.279,0.856,0.477
k12wm011,6,L Middle Temporal Gyrus,3,0.921,0.353,0.784,0.477
k12wm011,145,L Superior Temporal Gyrus,2,0.845,0.734,0.766,0.477
k12wm006,22,L Middle Temporal Gyrus,3,0.736,0.455,0.6,0.476
k12wm008,127,L Hippocampus,2,0.96,0.229,0.8,0.476
k12wm010,66,L Middle Frontal Gyrus,3,0.947,0.488,0.738,0.476
k12wm010,66,L Middle Frontal Gyrus,4,0.921,0.405,0.643,0.476
k12wm011,161,L Medial Temporal Pole,4,0.662,0.352,0.6,0.476
k12wm011,165,L Middle Temporal Gyrus,4,0.718,0.49,0.614,0.476
k12wm013,59,L Rectal Gyrus,3,1,0.667,0.714,0.476
k12wm013,81,R Insula Lobe,2,1,0.714,0.81,0.476
k12wm008,15,R Fusiform Gyrus,1,0.925,0.316,0.734,0.475
k12wm008,119,L Middle Temporal Gyrus,3,0.744,0.266,0.633,0.475
k12wm009,67,R Fusiform Gyrus,2,0.7,0.312,0.66,0.475
k12wm002,31,L Postcentral Gyrus,1,0.743,0.326,0.689,0.474
k12wm002,100,Right Cerebral White Matter,1,0.776,0.309,0.632,0.474
k12wm003,35,L IFG (p Triangularis),4,0.75,0.747,0.695,0.474
k12wm013,110,R Middle Frontal Gyrus,4,1,0.368,0.895,0.474
k12wm002,17,L Middle Temporal Gyrus,2,0.929,0.504,0.767,0.473
k12wm002,26,L Middle Temporal Gyrus,1,0.766,0.574,0.636,0.473
k12wm007,63,L IFG (p Triangularis),3,0.964,0.636,0.655,0.473
k12wm007,72,L IFG (p Orbitalis),1,0.929,0.291,0.782,0.473
k12wm009,41,L IFG (p Triangularis),2,0.722,0.452,0.596,0.473
k12wm011,36,L Medial Temporal Pole,1,0.757,0.521,0.63,0.473
k12wm002,16,L Middle Temporal Gyrus,3,0.672,0.528,0.559,0.472
k12wm002,18,L ParaHippocampal Gyrus,1,0.933,0.569,0.748,0.472
k12wm003,59,L IFG (p Orbitalis),3,0.706,0.268,0.642,0.472
k12wm003,59,L IFG (p Orbitalis),4,0.72,0.512,0.61,0.472
k12wm003,62,L IFG (p Orbitalis),2,0.806,0.252,0.691,0.472
k12wm003,104,R Medial Temporal Pole,3,0.764,0.732,0.62,0.472
k12wm008,117,L ParaHippocampal Gyrus,1,0.887,0.308,0.711,0.472
k12wm010,36,L Superior Orbital Gyrus,2,0.804,0.24,0.776,0.472
k12wm002,39,L ACC,2,0.824,0.377,0.717,0.471
k12wm008,49,R Medial Temporal Pole,3,0.769,0.581,0.645,0.471
k12wm008,126,L Hippocampus,4,0.775,0.581,0.684,0.471
k12wm009,69,R Inferior Temporal Gyrus,3,0.658,0.516,0.601,0.471
k12wm010,129,L Superior Temporal Gyrus,4,0.87,0.644,0.673,0.471
k12wm010,138,R Middle Temporal Gyrus,1,0.948,0.578,0.765,0.471
k12wm011,6,L Middle Temporal Gyrus,4,1,0.431,0.725,0.471
k12wm011,21,L Middle Temporal Gyrus,2,0.735,0.435,0.63,0.471
k12wm011,82,L IFG (p Triangularis),2,0.675,0.726,0.516,0.471
k12wm011,159,L Fusiform Gyrus,1,0.729,0.536,0.607,0.471
k12wm002,24,L Middle Temporal Gyrus,1,0.758,0.674,0.659,0.47
k12wm002,43,Left Cerebral White Matter,2,0.7,0.325,0.623,0.47
k12wm008,8,R Inferior Temporal Gyrus,4,0.806,0.477,0.705,0.47
k12wm002,14,Left Cerebral White Matter,1,0.79,0.406,0.648,0.469
k12wm006,21,L Inferior Temporal Gyrus,2,0.764,0.697,0.69,0.469
k12wm010,71,L ACC,3,0.75,0.703,0.641,0.469
k12wm010,126,L Superior Temporal Gyrus,2,0.826,0.487,0.69,0.469
k12wm011,162,L Medial Temporal Pole,2,0.671,0.51,0.592,0.469
k12wm013,10,L Rolandic Operculum,1,0.875,0.719,0.875,0.469
k12wm013,13,L Precentral Gyrus,4,0.778,0.312,0.656,0.469
k12wm013,90,R Superior Temporal Gyrus,2,1,0.469,0.875,0.469
k12wm003,63,L IFG (p Orbitalis),3,0.741,0.44,0.624,0.468
k12wm007,17,L Middle Temporal Gyrus,2,0.864,0.277,0.787,0.468
k12wm007,17,L Middle Temporal Gyrus,3,1,0.723,0.766,0.468
k12wm007,17,L Middle Temporal Gyrus,4,0.731,0.34,0.638,0.468
k12wm008,21,R Middle Temporal Gyrus,1,1,0.461,0.766,0.468
k12wm008,21,R Middle Temporal Gyrus,3,0.622,0.403,0.604,0.468
k12wm008,59,R Fusiform Gyrus,4,0.662,0.69,0.646,0.468
k12wm008,64,R Middle Temporal Gyrus,1,0.713,0.304,0.639,0.468
k12wm008,124,L Middle Temporal Gyrus,4,0.675,0.481,0.601,0.468
k12wm011,76,L SupraMarginal Gyrus,3,0.703,0.404,0.56,0.468
k12wm011,104,L Middle Frontal Gyrus,4,0.7,0.519,0.656,0.468
k12wm002,66,Left Amygdala,3,0.758,0.467,0.615,0.467
k12wm002,99,Right Cerebral White Matter,2,0.963,0.428,0.816,0.467
k12wm009,68,R Inferior Temporal Gyrus,2,0.959,0.757,0.77,0.467
k12wm013,5,L IFG (p Triangularis),2,0.857,0.633,0.667,0.467
k12wm013,80,L Middle Frontal Gyrus,1,0.857,0.5,0.6,0.467
k12wm002,26,L Middle Temporal Gyrus,4,1,0.442,0.698,0.465
k12wm002,82,R Hippocampus,3,0.704,0.333,0.535,0.465
k12wm003,104,R Medial Temporal Pole,4,0.681,0.683,0.563,0.465
k12wm003,105,R Medial Temporal Pole,1,0.654,0.297,0.606,0.465
k12wm006,24,L Middle Temporal Gyrus,3,0.718,0.325,0.605,0.465
k12wm008,18,R Inferior Temporal Gyrus,1,0.744,0.287,0.611,0.465
k12wm008,32,R Middle Temporal Gyrus,2,0.688,0.331,0.605,0.465
k12wm008,66,R ParaHippocampal Gyrus,1,0.787,0.623,0.679,0.465
k12wm008,70,R Inferior Temporal Gyrus,2,1,0.726,0.809,0.465
k12wm010,43,L Insula Lobe,2,0.922,0.303,0.62,0.465
k12wm011,164,L Medial Temporal Pole,4,0.821,0.521,0.701,0.465
k12wm002,2,Left Amygdala,1,0.81,0.32,0.68,0.464
k12wm002,29,L Heschls Gyrus,3,0.756,0.32,0.588,0.464
k12wm002,94,R Insula Lobe,1,0.726,0.264,0.584,0.464
k12wm007,67,L Superior Orbital Gyrus,2,0.786,0.571,0.714,0.464
k12wm007,88,R Fusiform Gyrus,4,1,0.661,0.946,0.464
k12wm008,9,R Inferior Temporal Gyrus,1,0.632,0.258,0.563,0.464
k12wm009,8,L Middle Temporal Gyrus,3,0.75,0.348,0.601,0.464
k12wm013,64,L IFG (p Orbitalis),3,1,0.679,0.714,0.464
k12wm013,84,R IFG (p Triangularis),4,0.833,0.25,0.607,0.464
k12wm013,93,R Fusiform Gyrus,2,1,0.429,0.786,0.464
k12wm013,94,R Medial Temporal Pole,4,0.929,0.714,0.679,0.464
k12wm007,2,L Amygdala,1,1,0.667,0.741,0.463
k12wm008,73,R Inferior Temporal Gyrus,4,0.689,0.289,0.604,0.463
k12wm010,82,L IFG (p Opercularis),3,1,0.588,0.801,0.463
k12wm010,100,Left Cerebral White Matter,3,0.779,0.276,0.709,0.463
k12wm002,61,L Precentral Gyrus,2,0.8,0.361,0.677,0.462
k12wm002,84,R Middle Temporal Gyrus,4,0.833,0.25,0.538,0.462
k12wm006,43,L Postcentral Gyrus,3,0.722,0.622,0.678,0.462
k12wm007,0,L Amygdala,4,0.958,0.538,0.827,0.462
k12wm007,1,L Amygdala,4,0.833,0.231,0.692,0.462
k12wm008,50,R Inferior Temporal Gyrus,4,0.658,0.237,0.564,0.462
k12wm008,60,R Inferior Temporal Gyrus,4,0.725,0.532,0.589,0.462
k12wm010,23,L Inferior Temporal Gyrus,2,0.913,0.484,0.774,0.462
k12wm010,44,L Insula Lobe,3,0.829,0.378,0.657,0.462
k12wm010,46,L IFG (p Triangularis),2,0.7,0.228,0.607,0.462
k12wm011,161,L Medial Temporal Pole,1,0.778,0.317,0.628,0.462
k12wm011,161,L Medial Temporal Pole,2,0.814,0.6,0.676,0.462
k12wm013,121,R Superior Temporal Gyrus,1,0.917,0.769,0.808,0.462
k12wm002,46,L Middle Frontal Gyrus,1,0.897,0.322,0.763,0.461
k12wm008,76,R Middle Temporal Gyrus,2,0.645,0.428,0.52,0.461
k12wm010,138,R Middle Temporal Gyrus,2,0.96,0.284,0.686,0.461
k12wm011,144,L Superior Temporal Gyrus,2,1,0.322,0.868,0.461
k12wm002,15,Left Cerebral White Matter,2,0.691,0.548,0.595,0.46
k12wm002,45,L Middle Frontal Gyrus,3,0.716,0.253,0.62,0.46
k12wm011,81,L IFG (p Triangularis),1,0.854,0.4,0.66,0.46
